,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
56,0.1761904761904762,0.15714285714285714,0.17142857142857143,0.16666666666666666,0.1619047619047619,0.17142857142857143,0.16666666666666666,0.1761904761904762,0.1761904761904762,0.17142857142857143
61,0.17142857142857143,0.16666666666666666,0.1619047619047619,0.18095238095238095,0.17142857142857143,0.1761904761904762,0.16666666666666666,0.17142857142857143,0.1761904761904762,0.16666666666666666
66,0.18571428571428572,0.1761904761904762,0.16666666666666666,0.17142857142857143,0.18095238095238095,0.17142857142857143,0.17142857142857143,0.15714285714285714,0.15714285714285714,0.16666666666666666
71,0.18095238095238095,0.1619047619047619,0.17142857142857143,0.17142857142857143,0.1761904761904762,0.1761904761904762,0.16666666666666666,0.17142857142857143,0.1761904761904762,0.16666666666666666
76,0.1761904761904762,0.17142857142857143,0.1761904761904762,0.16666666666666666,0.1761904761904762,0.16666666666666666,0.1619047619047619,0.1619047619047619,0.1619047619047619,0.1761904761904762
81,0.17142857142857143,0.1761904761904762,0.16666666666666666,0.18095238095238095,0.1761904761904762,0.1761904761904762,0.16666666666666666,0.16666666666666666,0.17142857142857143,0.17142857142857143
86,0.15714285714285714,0.17142857142857143,0.1619047619047619,0.1619047619047619,0.1619047619047619,0.15714285714285714,0.14761904761904762,0.15714285714285714,0.16666666666666666,0.18095238095238095
91,0.1619047619047619,0.1619047619047619,0.16666666666666666,0.1619047619047619,0.1761904761904762,0.17142857142857143,0.16666666666666666,0.17142857142857143,0.16666666666666666,0.15714285714285714
96,0.18095238095238095,0.1619047619047619,0.1619047619047619,0.1761904761904762,0.1761904761904762,0.17142857142857143,0.1761904761904762,0.18095238095238095,0.1761904761904762,0.18095238095238095
101,0.1761904761904762,0.16666666666666666,0.19047619047619047,0.1619047619047619,0.14761904761904762,0.16666666666666666,0.17142857142857143,0.1619047619047619,0.1619047619047619,0.17142857142857143
106,0.19047619047619047,0.16666666666666666,0.1523809523809524,0.14761904761904762,0.14285714285714285,0.14761904761904762,0.1523809523809524,0.1523809523809524,0.15714285714285714,0.1523809523809524
111,0.21904761904761905,0.20952380952380953,0.18095238095238095,0.15714285714285714,0.1523809523809524,0.1523809523809524,0.14285714285714285,0.15714285714285714,0.16666666666666666,0.1761904761904762
116,0.20952380952380953,0.19047619047619047,0.19047619047619047,0.16666666666666666,0.16666666666666666,0.18095238095238095,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
121,0.23809523809523808,0.23333333333333334,0.21428571428571427,0.19523809523809524,0.19523809523809524,0.18095238095238095,0.20476190476190476,0.19523809523809524,0.18571428571428572,0.2
