,1,6,11,16,21,26,31,36,41,46,51,56,61,66,71,76,81,86,91,96,101,106,111,116,121,126,131,136,141,146,151,156,161,166,171,176,181,186,191,196,201,206
110,0.0,0.19090909090909092,0.19090909090909092,0.19090909090909092,0.21818181818181817,0.21818181818181817,0.2,0.23636363636363636,0.2636363636363636,0.2727272727272727,0.3,0.3090909090909091,0.32727272727272727,0.32727272727272727,0.32727272727272727,0.32727272727272727,0.32727272727272727,0.32727272727272727,0.32727272727272727,0.32727272727272727,0.32727272727272727,0.32727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,0.0,0.19166666666666668,0.21666666666666667,0.19166666666666668,0.225,0.20833333333333334,0.19166666666666668,0.225,0.225,0.25,0.2916666666666667,0.3,0.325,0.31666666666666665,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,0.0,0.19230769230769232,0.2,0.18461538461538463,0.2,0.19230769230769232,0.16923076923076924,0.2076923076923077,0.2153846153846154,0.23076923076923078,0.24615384615384617,0.25384615384615383,0.2923076923076923,0.3076923076923077,0.3153846153846154,0.3230769230769231,0.33076923076923076,0.33076923076923076,0.33076923076923076,0.33076923076923076,0.33076923076923076,0.33076923076923076,0.33076923076923076,0.33076923076923076,0.33076923076923076,0.33076923076923076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,0.0,0.16428571428571428,0.18571428571428572,0.18571428571428572,0.2,0.18571428571428572,0.19285714285714287,0.21428571428571427,0.2357142857142857,0.22857142857142856,0.24285714285714285,0.2571428571428571,0.2857142857142857,0.2785714285714286,0.32142857142857145,0.30714285714285716,0.32857142857142857,0.32857142857142857,0.32857142857142857,0.32857142857142857,0.32857142857142857,0.32857142857142857,0.32857142857142857,0.32857142857142857,0.32857142857142857,0.32857142857142857,0.32857142857142857,0.32857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,0.0,0.19333333333333333,0.17333333333333334,0.18,0.16,0.16666666666666666,0.17333333333333334,0.18,0.21333333333333335,0.20666666666666667,0.21333333333333335,0.21333333333333335,0.25333333333333335,0.24666666666666667,0.26666666666666666,0.26666666666666666,0.31333333333333335,0.31333333333333335,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,0.0,0.175,0.1875,0.16875,0.15625,0.1625,0.18125,0.15625,0.2125,0.1875,0.20625,0.20625,0.25,0.2375,0.2375,0.2625,0.28125,0.3125,0.3125,0.31875,0.33125,0.33125,0.33125,0.33125,0.33125,0.33125,0.33125,0.33125,0.33125,0.33125,0.33125,0.33125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,0.0,0.16470588235294117,0.17058823529411765,0.1588235294117647,0.15294117647058825,0.1588235294117647,0.1588235294117647,0.16470588235294117,0.17058823529411765,0.2,0.19411764705882353,0.19411764705882353,0.20588235294117646,0.2235294117647059,0.21176470588235294,0.21764705882352942,0.25882352941176473,0.24705882352941178,0.3058823529411765,0.3058823529411765,0.3176470588235294,0.3235294117647059,0.32941176470588235,0.32941176470588235,0.32941176470588235,0.32941176470588235,0.32941176470588235,0.32941176470588235,0.32941176470588235,0.32941176470588235,0.32941176470588235,0.32941176470588235,0.32941176470588235,0.32941176470588235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,0.0,0.15555555555555556,0.16666666666666666,0.17777777777777778,0.14444444444444443,0.16111111111111112,0.16111111111111112,0.14444444444444443,0.15555555555555556,0.17222222222222222,0.18888888888888888,0.17777777777777778,0.18888888888888888,0.17777777777777778,0.2,0.19444444444444445,0.21666666666666667,0.2,0.24444444444444444,0.2722222222222222,0.3,0.3,0.32222222222222224,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
190,0.0,0.14736842105263157,0.16842105263157894,0.18421052631578946,0.15263157894736842,0.15789473684210525,0.16842105263157894,0.15789473684210525,0.15789473684210525,0.17894736842105263,0.18947368421052632,0.18947368421052632,0.18947368421052632,0.17894736842105263,0.16842105263157894,0.1736842105263158,0.18947368421052632,0.20526315789473684,0.19473684210526315,0.2,0.2578947368421053,0.24736842105263157,0.28421052631578947,0.3,0.33157894736842103,0.33157894736842103,0.33157894736842103,0.33157894736842103,0.33157894736842103,0.33157894736842103,0.33157894736842103,0.33157894736842103,0.33157894736842103,0.33157894736842103,0.33157894736842103,0.33157894736842103,0.33157894736842103,0.33157894736842103,0.0,0.0,0.0,0.0
200,0.0,0.155,0.155,0.165,0.145,0.155,0.155,0.155,0.17,0.155,0.18,0.19,0.185,0.175,0.19,0.18,0.175,0.18,0.175,0.185,0.21,0.21,0.23,0.25,0.285,0.3,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.0,0.0
210,0.0,0.14761904761904762,0.14761904761904762,0.15714285714285714,0.1380952380952381,0.14285714285714285,0.14761904761904762,0.1619047619047619,0.1619047619047619,0.1523809523809524,0.15714285714285714,0.17142857142857143,0.1619047619047619,0.16666666666666666,0.16666666666666666,0.1761904761904762,0.16666666666666666,0.1619047619047619,0.16666666666666666,0.1619047619047619,0.18571428571428572,0.1523809523809524,0.18095238095238095,0.19047619047619047,0.21428571428571427,0.22380952380952382,0.26666666666666666,0.30952380952380953,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
